Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Season
Filip Mladenovic,168063,€700k,"May 23, 2025","Aug 15, 1991",33,1.8,Serbia,,Left-Back,,Panathinaikos,,,"Jul 1, 2023","Jun 30, 2026",2016-2017
Bram Nuytinck,104597,€300k,"May 28, 2025","May 4, 1990",35,1.91,Netherlands,,Centre-Back,,NEC Nijmegen,,,"Jul 1, 2023","Jun 30, 2026",2016-2017
Laurens Paulussen,96228,,,"Jul 19, 1990",34,1.75,Belgium,Belgium,Right-Back,"Left-Back, Defensive Midfield",Retired,Sint-Lenaarts,"Jul 1, 2022",,,2016-2017
Nicklas Pedersen,44588,,,"Oct 10, 1987",37,1.88,Denmark,,Centre-Forward,,Retired,FC Emmen,"May 14, 2019",,,2016-2017
Thibault De Smet,340177,€2.50m,"Jun 2, 2025","Jun 5, 1998",27,1.83,Belgium,Belgium,Left-Back,Centre-Back,Paris FC,,,"Jul 1, 2025","Jun 30, 2027",2016-2017
Jérémy Perbet,23966,,,"Dec 12, 1984",40,1.84,France,France,Centre-Forward,,Retired,RCS Braine,"Jul 1, 2025",,,2016-2017
Alessandro Cordaro,12908,,,"May 2, 1986",39,1.69,Belgium,"Italy, Belgium",Right Winger,"Centre-Forward, Right Midfield",Retired,RAEC Mons,"Jul 1, 2025",,,2016-2017
Ivan Obradovic,49802,,,"Jul 25, 1988",36,1.81,Serbia,,Left-Back,,Retired,Partizan,"Jul 1, 2022",,,2016-2017
Lucas Pirard,168166,€250k,"Jun 12, 2025","Mar 10, 1995",30,1.91,Belgium,Belgium,Goalkeeper,,Standard Liège,,,"Jul 1, 2025","Jun 30, 2028",2016-2017
Darko Bjedov,138846,,,"Mar 28, 1989",36,1.91,Serbia,,Centre-Forward,,Retired,Zvezdara,"Jan 1, 2024",,,2016-2017
Jorn Vancamp,289645,,,"Oct 28, 1998",26,1.86,Belgium,,Centre-Forward,,Dessel Sport,,,"Jul 4, 2025","Jun 30, 2027",2016-2017
Kara Mbodj,141828,,,"Nov 11, 1989",35,1.92,Senegal,,Centre-Back,,Without Club,Al-Sailiya SC,"Oct 1, 2022",,,2016-2017
Orlando Sá,64535,,,"May 26, 1988",37,1.88,Portugal,,Centre-Forward,,Retired,Málaga CF,"Jul 1, 2021",,,2016-2017
Vladimir Kovacevic,94317,€275k,"Jun 2, 2025","Nov 11, 1992",32,1.89,Serbia,"Serbia, Yugoslavia (Republic)",Centre-Back,,Sokol Saratov,,,"Jan 16, 2025","Jun 30, 2026",2016-2017
Lennert De Smul,355707,,,"Jun 20, 1996",29,1.8,Belgium,,Left-Back,,Without Club,Mandel United,"Jul 1, 2022",,,2016-2017
Nebojsa Pavlovic,36045,,,"Apr 9, 1981",44,1.89,Serbia,,Defensive Midfield,,Retired,KV Kortrijk,"Jul 1, 2017",,,2016-2017
Azzedine Zaidi,431809,,,"Oct 13, 1996",28,,Belgium,Belgium,Left Winger,"Right Winger, Centre-Forward",Without Club,Tempo Overijse,"Aug 31, 2021",,,2016-2017
Xavier Mercier,190146,,,"Jul 25, 1989",35,1.74,France,France,Attacking Midfield,Central Midfield,Uchaud,,,"Aug 14, 2024",-,2016-2017
Pierre Zebli,335473,€600k,"Jun 9, 2025","Dec 6, 1997",27,1.8,Cote d'Ivoire,"Italy, Cote d'Ivoire",Defensive Midfield,Central Midfield,Without Club,Zira FC,"Jul 1, 2025",,,2016-2017
Soualiho Meïté,164913,€2.00m,"May 23, 2025","Mar 17, 1994",31,1.87,France,,Defensive Midfield,,PAOK Salonika,,,"Jul 1, 2025","Jun 30, 2026",2016-2017
Sébastien Locigno,168162,,,"Sep 2, 1995",29,1.83,Belgium,,Right-Back,,Retired,Francs Borains,"Jul 1, 2023",,,2016-2017
Hamdi Harbaoui,49841,,,"Jan 5, 1985",40,1.86,Tunisia,,Centre-Forward,,Retired,Mouscron,"Jul 1, 2022",,,2016-2017
Ridwan Gyselinck,326369,,,"Jun 11, 1994",31,1.84,Belgium,,Centre-Back,,Sp. Waasmunster,,,"Jul 1, 2023",-,2016-2017
Ethan Horvath,242284,€1.20m,"May 27, 2025","Jun 9, 1995",30,1.95,United States,United States,Goalkeeper,,Cardiff,,,"Feb 1, 2024","Jun 30, 2027",2016-2017
Hans Vanaken,137576,€7.00m,"Jun 12, 2025","Aug 24, 1992",32,1.95,Belgium,Belgium,Attacking Midfield,"Central Midfield, Left Midfield",Club Brugge,,,"Jul 1, 2015","Jun 30, 2027",2016-2017
Bob Straetman,419427,,,"Dec 29, 1997",27,1.83,Belgium,,Right Winger,,Aalst Lede,,,"Jul 1, 2025","Jun 30, 2027",2016-2017
Jean Chopin,331572,,,"Oct 9, 1994",30,1.95,France,,Goalkeeper,,Without Club,IC de Croix,"Jul 1, 2025",,,2016-2017
Hendrik Van Crombrugge,137326,€1.70m,"Jun 12, 2025","Apr 30, 1993",32,1.87,Belgium,,Goalkeeper,,KRC Genk,,,"Jul 18, 2023","Jun 30, 2027",2016-2017
Babacar Niasse,176573,€200k,"Jun 2, 2025","Dec 20, 1996",28,1.96,Mauritania,,Goalkeeper,,Guingamp,,,"Jul 21, 2023","Jun 30, 2025",2016-2017
Serge Tabekou,370522,€325k,"May 29, 2025","Oct 15, 1996",28,1.8,Cameroon,,Left Winger,,KF Tirana,,,"Jul 8, 2025",-,2016-2017
Jonathan Bamba,292818,€3.50m,"Jun 5, 2025","Mar 26, 1996",29,1.75,Cote d'Ivoire,"France, Cote d'Ivoire",Left Winger,"Right Winger, Attacking Midfield",Chicago,,,"Jan 31, 2025","Dec 31, 2027",2016-2017
Leon Bailey,387626,€28.00m,"May 30, 2025","Aug 9, 1997",27,1.78,Jamaica,Jamaica,Right Winger,"Left Winger, Right Midfield",Aston Villa,,,"Aug 4, 2021","Jun 30, 2027",2016-2017
Yohan Boli,280700,€2.00m,"May 28, 2025","Nov 17, 1993",31,1.81,Cote d'Ivoire,"France, Cote d'Ivoire",Centre-Forward,,Al-Gharafa,,,"Jul 4, 2023","Jun 30, 2025",2016-2017
Steeven Langil,52209,€125k,"May 2, 2025","Mar 4, 1988",37,1.82,Martinique,"France, Martinique",Left Winger,"Right Winger, Centre-Forward",Without Club,Khon Kaen Utd.,"Jul 1, 2025",,,2016-2017
Onur Kaya,33709,,,"Apr 20, 1986",39,1.67,Belgium,"Türkiye, Belgium",Attacking Midfield,"Left Winger, Left Midfield",Retired,Kosova Schaerb.,"Jul 1, 2023",,,2016-2017
Sascha Kotysch,41125,,,"Oct 2, 1988",36,1.88,Germany,"Germany, Belgium",Centre-Back,"Defensive Midfield, Right-Back",Retired,OH Leuven,"Jul 1, 2021",,,2016-2017
Carlos Strandberg,252689,€1.00m,"Jun 18, 2025","Apr 14, 1996",29,1.87,Sweden,"Mozambique, Sweden",Centre-Forward,"Right Winger, Left Winger",Hatayspor,,,"Jul 1, 2023","Jun 30, 2027",2016-2017
Samy Bourard,235230,€400k,"Jun 10, 2025","Mar 29, 1996",29,1.8,Belgium,,Central Midfield,,Without Club,Otelul Galati,"Jul 1, 2025",,,2016-2017
Konstantinos Laifis,121570,€1.00m,"May 29, 2025","May 19, 1993",32,1.86,Cyprus,Cyprus,Centre-Back,"Left-Back, Defensive Midfield",APOEL Nicosia,,,"Aug 13, 2024","May 31, 2027",2016-2017
Jelle Vossen,42748,€250k,"Apr 24, 2025","Mar 22, 1989",36,1.83,Belgium,Belgium,Centre-Forward,"Second Striker, Right Winger",Zulte Waregem,,,"Jan 30, 2020","Jun 30, 2026",2016-2017
Sebastiaan Brebels,316398,€300k,"Apr 24, 2025","May 5, 1995",30,1.83,Belgium,Belgium,Central Midfield,"Defensive Midfield, Right-Back",KSC Lokeren,,,"Jul 1, 2024","Jun 30, 2026",2016-2017
Ahmed El Messaoudi,303939,€700k,"Jun 17, 2025","Aug 3, 1995",29,1.82,Morocco,,Central Midfield,,Tobol Kostanay,,,"Jan 11, 2024","Dec 31, 2025",2016-2017
Diawandou Diagne,228658,,,"Jul 28, 1994",30,1.75,Senegal,,Defensive Midfield,,Without Club,Manila Digger,"Apr 1, 2024",,,2016-2017
Sergiy Bolbat,264063,€175k,"Apr 4, 2025","Jun 13, 1993",32,1.75,Ukraine,,Right Winger,,Without Club,Kolos Kovalivka,"Feb 23, 2024",,,2016-2017
Martin Milec,94523,,,"Sep 20, 1991",33,1.74,Slovenia,Slovenia,Right-Back,"Right Midfield, Left-Back",NK Race,,,"Jul 1, 2025",-,2016-2017
Renaud Emond,168471,,,"Dec 5, 1991",33,1.85,Belgium,Belgium,Centre-Forward,,Retired,KAS Eupen,"Jul 1, 2025",,,2016-2017
Lex Immers,56371,,,"Jun 8, 1986",39,1.87,Netherlands,,Attacking Midfield,,Scheveningen,,,"May 8, 2025",-,2016-2017
Boubacar Copa,13041,,,"Dec 30, 1979",45,1.8,Cote d'Ivoire,,Goalkeeper,,Retired,OH Leuven,"Mar 2, 2019",,,2016-2017
Wesley Moraes,381362,€1.80m,"Jun 25, 2025","Nov 24, 1996",28,1.91,Brazil,Brazil,Centre-Forward,,SZ Peng City,,,"Jul 2, 2025",-,2016-2017
László Köteles,57188,,,"Sep 1, 1984",40,1.85,Hungary,,Goalkeeper,,Retired,FC Copenhagen,"Jul 1, 2018",,,2016-2017
Maxime De Bie,481121,,,"Dec 13, 2000",24,1.89,Belgium,Belgium,Defensive Midfield,"Centre-Back, Central Midfield",KFC Kontich,,,"Jul 1, 2024",-,2016-2017
Sébastien Bruzzese,50818,€50k,"Apr 4, 2025","Mar 1, 1989",36,1.85,Belgium,,Goalkeeper,,Without Club,Cercle Brugge,"Jul 1, 2024",,,2016-2017
Dylan Lambrecth,431393,,,"Nov 13, 1992",32,1.87,Belgium,,Centre-Forward,,Croatia Wandre,,,"Jul 1, 2025","Jun 30, 2026",2016-2017
Charni Ekangamene,105337,,,"Feb 16, 1994",31,1.78,Belgium,,Defensive Midfield,,Berchem Sport,,,"Jul 1, 2023","Jun 30, 2026",2016-2017
Robbie Ringoet,326336,,,"Apr 9, 1997",28,,Belgium,,Central Midfield,,KVV Schelde,,,"Jul 1, 2024",-,2016-2017
Bojan Nastic,168943,€200k,"Jun 6, 2025","Jul 6, 1994",31,1.82,Bosnia-Herzegovina,"Bosnia-Herzegovina, Serbia",Centre-Back,"Left-Back, Left Midfield",Wisla Plock,,,"Jul 1, 2024","Jun 30, 2026",2016-2017
Samuel Kalu,424051,€1.20m,"Apr 4, 2025","Aug 26, 1997",27,1.77,Nigeria,Nigeria,Right Winger,Left Winger,Without Club,Watford,"Aug 30, 2024",,,2016-2017
Anderson Esiti,245027,€250k,"May 28, 2025","May 24, 1994",31,1.89,Nigeria,Nigeria,Defensive Midfield,,Diósgyőr,,,"Jul 2, 2025","Jun 30, 2026",2016-2017
Sandy Walsh,187329,€800k,"May 29, 2025","Mar 14, 1995",30,1.83,Indonesia,,Right-Back,,Yokohama F. M.,,,"Feb 9, 2025","Jun 30, 2027",2016-2017
Mathias Janssens,292809,,,"Mar 9, 1998",27,1.86,Belgium,,Goalkeeper,,Soignies,,,"Jul 1, 2025","Jun 30, 2026",2016-2017
Ronnie Schwartz,46007,,,"Aug 29, 1989",35,1.83,Denmark,,Centre-Forward,,Retired,FC Fredericia,"Apr 25, 2025",,,2016-2017
Nathan Mingiedi,421110,,,"Dec 22, 1997",27,,Belgium,,Central Midfield,,Without Club,SK Londerzeel,"Jul 1, 2024",,,2016-2017
Maxim Nys,436419,,,"Oct 28, 1996",28,1.8,Belgium,,Left-Back,,Lyra-Lierse,,,"Jul 1, 2025","Jun 30, 2027",2016-2017
Nikolaos Karelis,63487,€450k,"May 30, 2025","Feb 24, 1992",33,1.73,Greece,Greece,Centre-Forward,"Second Striker, Left Winger",Without Club,Mumbai City,"Jun 1, 2025",,,2016-2017
Abdoulay Diaby,148396,€200k,"May 30, 2025","May 21, 1991",34,1.73,Mali,,Right Winger,,Without Club,Boavista,"Jul 1, 2025",,,2016-2017
William Troost-Ekong,192875,€1.50m,"May 27, 2025","Sep 1, 1993",31,1.91,Nigeria,"Nigeria, Netherlands",Centre-Back,,Al-Kholood,,,"Aug 23, 2024","Jun 30, 2026",2016-2017
Christophe Lepoint,4742,,,"Oct 24, 1984",40,1.89,Belgium,,Central Midfield,,Retired,RFC Seraing,"Jul 1, 2024",,,2016-2017
Victor Van De Wiele,375019,,,"Jul 8, 1996",29,,Belgium,,Attacking Midfield,,FC Gullegem,,,"Jul 1, 2018","Jun 30, 2026",2016-2017
Tomislav Barbaric,46500,,,"Mar 29, 1989",36,1.9,Croatia,,Centre-Back,,Retired,Waldbach,"Jan 1, 2022",,,2016-2017
Brecht Dejaegere,159098,€500k,"Jun 12, 2025","May 29, 1991",34,1.73,Belgium,,Central Midfield,,KV Kortrijk,,,"Aug 16, 2024","Jun 30, 2026",2016-2017
José Izquierdo,147094,,,"Jul 7, 1992",33,1.71,Colombia,,Left Winger,,Retired,Club Brugge,"Jul 1, 2022",,,2016-2017
Kenny Saief,209019,€300k,"Jun 13, 2025","Dec 17, 1993",31,1.76,United States,"Israel, United States",Left Midfield,"Left Winger, Left-Back",Maccabi Haifa,,,"Jan 10, 2024","Jun 30, 2027",2016-2017
Dimitrios Goutas,191829,€1.20m,"May 27, 2025","Apr 4, 1994",31,1.89,Greece,,Centre-Back,,Genclerbirligi,,,"Jul 11, 2025","Jun 30, 2027",2016-2017
Tesfaldet Tekie,283185,€2.00m,"Jun 18, 2025","Jun 4, 1997",28,1.75,Sweden,,Central Midfield,,Hammarby,,,"Feb 9, 2023","Dec 31, 2026",2016-2017
Valeriy Luchkevych,248934,€400k,"Jun 10, 2025","Jan 11, 1996",29,1.76,Ukraine,,Right-Back,,Without Club,Dynamo Kyiv,"Jul 1, 2025",,,2016-2017
Andile Jali,118538,€200k,"May 28, 2025","Apr 10, 1990",35,1.75,South Africa,South Africa,Defensive Midfield,Central Midfield,Without Club,Chippa United,"Jul 1, 2025",,,2016-2017
Gaëtan Coucke,338651,€2.00m,"May 27, 2025","Nov 3, 1998",26,1.87,Belgium,,Goalkeeper,,Without Club,Al-Orobah,"Jul 1, 2025",,,2016-2017
Damien Mouchamps,370520,€200k,"Apr 24, 2025","Jan 10, 1996",29,1.72,Belgium,Belgium,Right Winger,Left Winger,RFC Lüttich,,,"Jul 1, 2018","Jun 30, 2027",2016-2017
Nicolas Timmermans,13110,,,"Nov 4, 1982",42,1.83,Belgium,Belgium,Right-Back,Centre-Back,Retired,FC Ganshoren,"Jul 1, 2023",,,2016-2017
Jonathan Buatu,137313,€600k,"May 30, 2025","Sep 27, 1993",31,1.87,Angola,,Centre-Back,,Gil Vicente,,,"Jan 25, 2024","Jun 30, 2026",2016-2017
Dennis Appiah,111038,€800k,"Jun 3, 2025","Jun 9, 1992",33,1.79,France,,Right-Back,,Saint-Étienne,,,"Jan 3, 2023","Jun 30, 2026",2016-2017
Mario Ticinovic,66638,€150k,"Jun 4, 2025","Aug 20, 1991",33,1.72,Croatia,Croatia,Right-Back,"Right Winger, Left-Back",Without Club,Zrinjski Mostar,"Jul 1, 2025",,,2016-2017
Jakub Brabec,112948,€1.00m,"May 23, 2025","Aug 6, 1992",32,1.86,Czech Republic,"CSSR, Czech Republic",Centre-Back,,Aris Saloniki,,,"Aug 31, 2021","Jun 30, 2026",2016-2017
Igor Vetokele,101201,,,"Mar 23, 1992",33,1.73,Angola,"Angola, Belgium",Centre-Forward,"Second Striker, Left Winger",Retired,Lommel SK,"Jul 1, 2025",,,2016-2017
Xavier Chen,19363,,,"Oct 5, 1983",41,1.74,Chinese Taipei,"Belgium, Chinese Taipei",Right-Back,,Retired,KV Mechelen,"Jul 1, 2017",,,2016-2017
Cherif Ndiaye,480705,€5.00m,"Jun 12, 2025","Jan 23, 1996",29,1.9,Senegal,Senegal,Centre-Forward,"Left Winger, Attacking Midfield",Red Star,,,"Sep 4, 2023","Jun 30, 2026",2016-2017
Seth De Witte,42191,,,"Oct 18, 1987",37,1.93,Belgium,,Centre-Back,,KVC Wilrijk,,,"Jul 1, 2023","Jun 30, 2026",2016-2017
Obbi Oulare,314959,€150k,"Apr 4, 2025","Jan 8, 1996",29,1.96,Belgium,,Centre-Forward,,Without Club,KSK Lierse Kem.,"Feb 4, 2025",,,2016-2017
Sofiane Hanni,113358,€1.00m,"May 28, 2025","Dec 29, 1990",34,1.78,Algeria,,Attacking Midfield,,Al-Khor SC,,,"Sep 18, 2023","Jun 30, 2025",2016-2017
Luca Marrone,124769,€75k,"Jun 19, 2025","Mar 28, 1990",35,1.86,Italy,Italy,Centre-Back,"Defensive Midfield, Central Midfield",Lecco,,,"Aug 31, 2023","Jun 30, 2026",2016-2017
Rúben Fernandes,27178,€50k,"May 30, 2025","May 6, 1986",39,1.87,Portugal,,Centre-Back,,Farense,,,"Jul 1, 2025","Jun 30, 2026",2016-2017
Alexis De Sart,323713,€400k,"Apr 24, 2025","Nov 12, 1996",28,1.8,Belgium,Belgium,Central Midfield,"Attacking Midfield, Defensive Midfield",Without Club,RWDM,"Jul 1, 2025",,,2016-2017
Kurt Abrahams,490325,€250k,"Apr 24, 2025","Dec 30, 1996",28,1.72,South Africa,,Right Winger,,SK Beveren,,,"Dec 21, 2024","Jun 30, 2026",2016-2017
Cristian Ceballos,166640,,,"Dec 3, 1992",32,1.73,Spain,,Attacking Midfield,,Retired,Sabah FK,"Jul 1, 2024",,,2016-2017
Damien Dussaut,205533,€250k,"Jun 10, 2025","Nov 8, 1994",30,1.82,Martinique,"France, Martinique",Right-Back,"Right Midfield, Left-Back",Without Club,UTA Arad,"Jul 1, 2025",,,2016-2017
Abdoulaye Sanogo,355350,,,"Oct 14, 1996",28,1.68,Mali,,Attacking Midfield,,Binga FC,,,"Jul 1, 2021",-,2016-2017
Siebe Van der Heyden,400131,€2.50m,"Jun 5, 2025","May 30, 1998",27,1.85,Belgium,,Centre-Back,,RCD Mallorca,,,"Jul 18, 2023","Jun 30, 2028",2016-2017
Idir Ouali,46716,,,"May 21, 1988",37,1.76,Algeria,"France, Algeria",Left Winger,"Right Winger, Right-Back",Mouscron,,,"Aug 29, 2023",-,2016-2017
Pieter Gerkens,183383,€700k,"Jun 12, 2025","Feb 17, 1995",30,1.79,Belgium,Belgium,Attacking Midfield,Central Midfield,Cercle Brugge,,,"Jul 1, 2025","Jun 30, 2026",2016-2017
Tomás Pina,139895,,,"Oct 14, 1987",37,1.85,Spain,,Central Midfield,,Retired,Real Murcia,"Jul 1, 2024",,,2016-2017
Răzvan Marin,295183,€3.50m,"Jun 17, 2025","May 23, 1996",29,1.78,Romania,Romania,Defensive Midfield,"Attacking Midfield, Central Midfield",Cagliari,,,"Jul 1, 2021","Jun 30, 2026",2016-2017
Rafael Galhardo,124701,€125k,"Apr 4, 2025","Oct 30, 1991",33,1.83,Brazil,Brazil,Attacking Midfield,"Central Midfield, Right Winger",Without Club,Rayong FC,"Jul 1, 2024",,,2016-2017
Hervé Kage,42731,,,"Apr 10, 1989",36,1.78,DR Congo,,Left Winger,,Stade Everois,,,"Sep 1, 2024",-,2016-2017
Lasse Nielsen,42913,€75k,"Jun 18, 2025","Jan 8, 1988",37,1.85,Denmark,,Right Midfield,,Vejle BK,,,"Jul 1, 2025","Jun 30, 2027",2016-2017
Reda Jaadi,194433,€450k,"May 28, 2025","Feb 14, 1995",30,1.83,Morocco,"Belgium, Morocco",Central Midfield,"Attacking Midfield, Left Winger",Moghreb Tétouan,,,"Jan 31, 2025","Jun 30, 2025",2016-2017
Ibrahima Sory Bah,339601,€25k,"Dec 27, 2024","Jan 1, 1999",26,1.73,Guinea,"Belgium, Guinea",Right Winger,"Left Winger, Second Striker",Without Club,F91 Dudelange II,"Jul 1, 2025",,,2016-2017
Thomas Buffel,4377,,,"Feb 19, 1981",44,1.75,Belgium,,Right Winger,,Retired,Zulte Waregem,"Jul 1, 2019",,,2016-2017
Mathias Francotte,490514,€350k,"Apr 24, 2025","May 28, 1998",27,1.72,Belgium,Belgium,Right-Back,"Right Midfield, Right Winger",Francs Borains,,,"Jul 1, 2023","Jun 30, 2027",2016-2017
Zeljko Filipovic,96267,,,"Oct 3, 1988",36,1.94,Slovenia,,Defensive Midfield,,Retired,Vojvodina,"Jan 1, 2020",,,2016-2017
Amarildo Gjoka,249538,,,"Jun 3, 1997",28,,Albania,"Albania, Belgium",Attacking Midfield,Second Striker,Without Club,Elene-Grotenb.,"Jul 1, 2024",,,2016-2017
Neeskens Kebano,111422,€500k,"May 29, 2025","Mar 10, 1992",33,1.7,DR Congo,,Left Winger,,Al-Jazira,,,"Jul 8, 2023",-,2016-2017
Sotiris Ninis,46062,€50k,"Apr 4, 2025","Apr 3, 1990",35,1.73,Greece,"Greece, Albania",Attacking Midfield,"Central Midfield, Right Winger",Without Club,AE Kifisias,"Jul 1, 2024",,,2016-2017
Lovre Kalinic,46405,€100k,"Jun 9, 2025","Apr 3, 1990",35,2.01,Croatia,,Goalkeeper,,Without Club,Hajduk Split,"Jul 1, 2025",,,2016-2017
Darwin Andrade,161282,€50k,"May 21, 2025","Feb 11, 1991",34,1.68,Colombia,Colombia,Left-Back,Left Midfield,Jaguares FC,,,"Jul 1, 2023","Jun 30, 2025",2016-2017
Bo Geens,259932,,,"Aug 10, 1995",29,1.85,Belgium,,Goalkeeper,,City Pirates,,,"Jul 1, 2023","Jun 30, 2026",2016-2017
Alexandro Cavagnera,503485,€150k,"Jun 19, 2025","Dec 1, 1998",26,1.86,Belgium,"Italy, Belgium",Defensive Midfield,,FC Wiltz 71,,,"Aug 3, 2023","Jun 30, 2027",2016-2017
Wilfred Ndidi,274839,€15.00m,"May 30, 2025","Dec 16, 1996",28,1.83,Nigeria,"Nigeria, England",Defensive Midfield,Central Midfield,Leicester,,,"Jan 3, 2017","Jun 30, 2027",2016-2017
Mohamed Ofkir,369650,€325k,"Jun 3, 2025","Aug 4, 1996",28,1.76,Norway,,Left Winger,,Vålerenga,,,"Jan 26, 2023","Dec 31, 2026",2016-2017
Jean-Paul Boëtius,182574,€400k,"Jun 19, 2025","Mar 22, 1994",31,1.78,Suriname,,Attacking Midfield,,Darmstadt 98,,,"Jan 21, 2025",-,2016-2017
Sander Coopman,279254,€200k,"Apr 24, 2025","Mar 12, 1995",30,1.83,Belgium,,Central Midfield,,B. Banja Luka,,,"Jul 1, 2025","Jun 30, 2026",2016-2017
Aaron Dhondt,351390,,,"Dec 18, 1995",29,1.76,Belgium,,Second Striker,,Mandel United,,,"Jul 1, 2024","Jun 30, 2028",2016-2017
Olivier Myny,316406,€200k,"Apr 24, 2025","Nov 10, 1994",30,1.78,Belgium,,Right Winger,,KSC Lokeren,,,"Jul 30, 2024","Jun 30, 2026",2016-2017
Paolo Sabak,338669,,,"Feb 10, 1999",26,1.76,Belgium,,Attacking Midfield,,KFC Putte,,,"Jul 1, 2024",-,2016-2017
Babacar Gueye,342364,,,"Dec 31, 1994",30,1.93,Senegal,Senegal,Centre-Forward,Second Striker,Without Club,Ohod Club,"Jul 1, 2023",,,2016-2017
Siebe Schrijvers,208552,€1.50m,"Jun 12, 2025","Jul 18, 1996",28,1.79,Belgium,,Central Midfield,,OH Leuven,,,"Jan 15, 2021","Jun 30, 2027",2016-2017
Jean-Luc Dompé,291222,€3.50m,"Jun 19, 2025","Aug 12, 1995",29,1.7,France,"France, Cote d'Ivoire",Left Winger,"Left Midfield, Right Winger",Hamburger SV,,,"Aug 18, 2022","Jun 30, 2027",2016-2017
Brian Vandenbussche,18019,,,"Sep 24, 1981",43,1.96,Belgium,Belgium,Goalkeeper,,Retired,Blankenberge,"Jul 1, 2021",,,2016-2017
Yoan Severin,340065,€1.20m,"Jun 10, 2025","Jan 24, 1997",28,1.86,France,France,Centre-Back,Left-Back,Servette FC,,,"Jul 17, 2018","Jun 30, 2028",2016-2017
Nick Proschwitz,31535,,,"Nov 28, 1986",38,1.92,Germany,,Centre-Forward,,Unknown,VfB Eppingen,"Jul 1, 2024",,,2016-2017
Ibrahima Diédhiou,176556,,,"Oct 13, 1994",30,1.9,Senegal,Senegal,Centre-Back,Left-Back,Vineuil,,,"Jul 11, 2024",-,2016-2017
Massimo Bruno,111376,€300k,"Jun 12, 2025","Sep 17, 1993",31,1.78,Belgium,,Right Winger,,Without Club,KV Kortrijk,"Jul 1, 2025",,,2016-2017
Sander De Prycker,498927,,,"Feb 16, 1998",27,,Belgium,Belgium,Centre-Back,,HRS Haasdonk,,,"Jul 1, 2023","Jun 30, 2026",2016-2017
Guillaume Hubert,129585,€250k,"Apr 24, 2025","Jan 11, 1994",31,1.98,Belgium,,Goalkeeper,,RWDM Brussels,,,"Jul 1, 2023","Jun 30, 2026",2016-2017
Samy Mmaee,331840,€400k,"Jun 9, 2025","Sep 8, 1996",28,1.88,Morocco,,Centre-Back,,Dinamo Zagreb,,,"Jul 17, 2024","Jun 30, 2028",2016-2017
